Image Name," ""Image Plane"""," ""Image Date and Time"""," ""Elapsed Time"""," ""Stage Label"""," ""Wavelength"""," ""Object #"""," ""Frame #"""," ""X"""," ""Y"""," ""Distance"""," ""Time Interval"""," ""Velocity"""," ""Absolute Angle"""," ""Distance To Origin"""," ""Delta X"""," ""Delta Y"""," ""Avgerage Intensity"""," ""Intensity S.D."""," ""Minimum Intensity"""," ""Maximum Intensity"""," ""Total Intensity"""
Test_set,50," ""16:38:16.470"""," ""00:00:00.123"""," ""No Label""",0,1,50,90.4825,330.924,0.808602,0.002,404.301,89.5654,343.071, , ,2102.18,1544.53,378,5532,1.66E+06
Test_set,51," ""16:38:16.473"""," ""00:00:00.126"""," ""No Label""",0,1,51,90.6385,331.028,0.187394,0.003,62.4648,56.3902,343.212, , ,2026.52,1531.33,381,5247,1.61E+06
Test_set,52," ""16:38:16.476"""," ""00:00:00.129"""," ""No Label""",0,1,52,91.4871,331.009,0.848781,0.003,282.927,91.2939,343.419, , ,2081.72,1538.96,367,5290,1.65E+06
Test_set,53," ""16:38:16.478"""," ""00:00:00.131"""," ""No Label""",0,1,53,91.7008,331.016,0.213801,0.002,106.9,87.9305,343.483, , ,2035.45,1534.08,360,5286,1.61E+06
Test_set,54," ""16:38:16.480"""," ""00:00:00.133"""," ""No Label""",0,1,54,92.6011,330.882,0.910328,0.002,455.164,98.5193,343.595, , ,1996.28,1543.22,382,5495,1.58E+06
Test_set,55," ""16:38:16.483"""," ""00:00:00.136"""," ""No Label""",0,1,55,93.4249,330.789,0.829064,0.003,276.355,96.442,343.728, , ,2071.76,1558.24,363,5479,1.64E+06
Test_set,56," ""16:38:16.486"""," ""00:00:00.139"""," ""No Label""",0,1,56,93.6894,330.702,0.278426,0.003,92.8088,108.216,343.717, , ,2024.78,1533.6,423,5369,1.60E+06
Test_set,57," ""16:38:16.488"""," ""00:00:00.141"""," ""No Label""",0,1,57,94.6342,330.73,0.945304,0.002,472.652,88.2944,344.003, , ,1986.06,1542.34,333,5426,1.57E+06
Test_set,58," ""16:38:16.491"""," ""00:00:00.144"""," ""No Label""",0,1,58,95.5953,330.8,0.963645,0.003,321.215,85.8267,344.336, , ,1967.25,1501.59,377,5301,1.56E+06
Test_set,59," ""16:38:16.493"""," ""00:00:00.146"""," ""No Label""",0,1,59,96.748,330.975,1.16588,0.002,582.939,81.3633,344.825, , ,1968.56,1508.93,325,5129,1.56E+06
Test_set,60," ""16:38:16.496"""," ""00:00:00.149"""," ""No Label""",0,1,60,97.8224,330.929,1.07538,0.003,358.459,92.4316,345.085, , ,1972.54,1500.61,351,5169,1.56E+06
Test_set,61," ""16:38:16.498"""," ""00:00:00.151"""," ""No Label""",0,1,61,98.7765,330.883,0.955189,0.002,477.595,92.7635,345.312, , ,1942.46,1478.56,358,4936,1.54E+06
Test_set,62," ""16:38:16.501"""," ""00:00:00.154"""," ""No Label""",0,1,62,99.7298,330.82,0.95548,0.003,318.493,93.8166,345.525, , ,1895.53,1476.47,384,5045,1.50E+06
Test_set,63," ""16:38:16.503"""," ""00:00:00.156"""," ""No Label""",0,1,63,100.604,330.843,0.874434,0.002,437.217,88.4702,345.801, , ,1841.17,1445.65,340,4984,1.46E+06
Test_set,64," ""16:38:16.506"""," ""00:00:00.159"""," ""No Label""",0,1,64,101.53,330.932,0.930606,0.003,310.202,84.4863,346.157, , ,1814.75,1469.18,331,5165,1.44E+06
Test_set,65," ""16:38:16.509"""," ""00:00:00.162"""," ""No Label""",0,1,65,102.355,330.874,0.826368,0.003,275.456,94.0745,346.343, , ,1915.36,1510.58,310,5131,1.52E+06
Test_set,66," ""16:38:16.512"""," ""00:00:00.165"""," ""No Label""",0,1,66,102.702,330.892,0.347681,0.003,115.894,87.0064,346.464, , ,1891.01,1513.58,344,5061,1.50E+06
Test_set,67," ""16:38:16.514"""," ""00:00:00.167"""," ""No Label""",0,1,67,103.583,330.862,0.882073,0.002,441.036,91.9371,346.697, , ,1832.62,1488.74,333,5193,1.45E+06
Test_set,68," ""16:38:16.517"""," ""00:00:00.170"""," ""No Label""",0,1,68,104.498,330.775,0.918751,0.003,306.25,95.436,346.889, , ,1940.7,1514.61,298,5153,1.54E+06
Test_set,69," ""16:38:16.519"""," ""00:00:00.172"""," ""No Label""",0,1,69,104.99,330.853,0.497932,0.002,248.966,80.9305,347.112, , ,1937.73,1521.52,353,5164,1.53E+06
Test_set,70," ""16:38:16.522"""," ""00:00:00.175"""," ""No Label""",0,1,70,106.013,330.795,1.0251,0.003,341.7,93.27,347.367, , ,1907.68,1494.4,305,5061,1.51E+06
Test_set,71," ""16:38:16.525"""," ""00:00:00.178"""," ""No Label""",0,1,71,106.987,330.751,0.97501,0.003,325.003,92.56,347.624, , ,1901.68,1482.09,317,5167,1.51E+06
Test_set,72," ""16:38:16.528"""," ""00:00:00.181"""," ""No Label""",0,1,72,107.941,330.736,0.954305,0.003,318.102,90.9346,347.904, , ,1895.07,1487.95,217,5113,1.50E+06
Test_set,73," ""16:38:16.530"""," ""00:00:00.183"""," ""No Label""",0,1,73,108.816,330.54,0.896325,0.002,448.162,102.624,347.991, , ,1850.22,1464.07,253,5028,1.47E+06
Test_set,74," ""16:38:16.533"""," ""00:00:00.186"""," ""No Label""",0,1,74,109.715,330.493,0.899921,0.003,299.974,93.017,348.228, , ,1810.46,1466.26,219,4996,1.43E+06
Test_set,75," ""16:38:16.535"""," ""00:00:00.188"""," ""No Label""",0,1,75,110.575,330.009,0.987475,0.002,493.737,119.338,348.041, , ,1767.03,1470.51,215,4984,1.40E+06
Test_set,76," ""16:38:16.538"""," ""00:00:00.191"""," ""No Label""",0,1,76,111.244,329.936,0.672238,0.003,224.079,96.1713,348.186, , ,1825.71,1485.3,233,5009,1.45E+06
