Time,Growth rate
12.93333333,5.699135379
13,3.153703601
13.06666667,2.803927133
13.13333333,3.224212938
13.2,3.12121591
13.26666667,3.862422554
13.33333333,3.195146709
13.4,4.2706166
13.46666667,3.907562527
13.53333333,5.840286893
13.6,3.349174067
13.66666667,2.890215373
13.73333333,3.728198204
13.8,2.431901442
13.86666667,3.403761941
13.93333333,2.327222844
14,3.088161216
14.06666667,3.09032555
14.13333333,3.742681098
14.2,3.436780995
14.26666667,4.332523681
14.33333333,4.284798172
14.4,3.241213328
14.46666667,2.125505616
14.53333333,3.841563299
14.6,3.518886367
14.66666667,2.700486223
14.73333333,4.283427643
14.8,3.716135606
14.86666667,4.564716546
14.93333333,5.638291024
15,5.79353663
15.06666667,3.878091296
15.13333333,4.256253587
15.2,4.95720297
15.26666667,3.173866251
15.33333333,2.014871859
15.4,3.655981376
15.46666667,2.992117273
15.53333333,0.522973086
15.6,7.122210922
15.66666667,8.531299295
15.73333333,6.677100077
15.8,4.366718863
15.86666667,3.411508831
15.93333333,2.127109427
16,2.768669225
16.06666667,1.86529953
16.13333333,2.991304028
16.2,1.041874113
16.26666667,3.277994046
16.33333333,4.316806339
16.4,3.966077306
16.46666667,6.498898922
16.53333333,4.697696728
16.6,3.242133494
16.66666667,3.187403059
16.73333333,2.378518856
16.8,3.432533328
16.86666667,4.092127083
16.93333333,3.214648396
17,3.812986314
17.06666667,4.002365541
17.13333333,5.030657486
17.2,4.670146829
17.26666667,5.55435504
17.33333333,3.80933805
17.4,3.574417087
17.46666667,2.829776021
17.53333333,3.003544827
17.6,3.24774521
17.66666667,3.384098254
17.73333333,3.980184357
17.8,3.739794239
17.86666667,6.81172295
17.93333333,5.544408176
18,6.904909194
18.06666667,4.828849538
18.13333333,3.858061486
18.2,2.395149884
18.26666667,3.086071402
18.33333333,2.121034387
18.4,3.476354612
18.46666667,4.103460676
18.53333333,5.081162933
18.6,12.01399787
18.66666667,11.26691383
18.73333333,9.723659423
18.8,8.178331407
18.86666667,7.137183059
18.93333333,4.612986379
19,2.302741245
19.06666667,2.699656778
19.13333333,2.150628739
19.2,2.57038318
19.26666667,0.935348702
19.33333333,4.194926469
19.4,4.123484006
19.46666667,5.857932048
19.53333333,6.870539051
19.6,5.445334814
19.66666667,2.662707578
19.73333333,2.181298778
19.8,3.37431987
19.86666667,2.782601315
19.93333333,3.05017521
20,3.051510098
20.06666667,3.311372742
20.13333333,3.833819649
20.2,4.972861991
20.26666667,4.848114703
20.33333333,4.326387081
20.4,2.833262284
20.46666667,2.494427367
20.53333333,2.592428283
20.6,2.599248527
20.66666667,2.639949671
20.73333333,2.837707592
20.8,0.383103647
20.86666667,2.572680355
20.93333333,0.163885122
21,0.175090735
21.06666667,0.230219692
21.13333333,0.240116012
21.2,0.269573311
21.26666667,3.087140609
21.33333333,2.397978422
21.4,2.321650008
21.46666667,0.127699272
21.53333333,0.169869765
21.6,0.244116466
21.66666667,0.282507799
21.73333333,0.233094239
21.8,2.678567481
21.86666667,0.336445725
21.93333333,0.183742239
22,0.531498877
22.06666667,0.40695247
22.13333333,0.393836865
22.2,0.168636289
22.26666667,0.206446362
22.33333333,0.29647229
22.4,0.198008375
22.46666667,0.194668238
22.53333333,0.199501377
22.6,0.395774721
22.66666667,0.449440161
22.73333333,0.192911498
22.8,0.047169036
22.86666667,0.09006727
22.93333333,0.245255334
23,0.327473783
23.06666667,0.04302547
23.13333333,0.221771013
23.2,1.394595759
23.26666667,0
23.33333333,0
